,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long
0,629000615,2014-10-22," 1,495,000 ",4,3.25,3070,10375,2.0,No,No View,Average,10,1962,98004,47.5862,-122.198
1,4141800215,2014-11-26," 1,495,000 ",4,3.75,3770,4000,2.5,No,No View,Very Good,9,1916,98122,47.6157,-122.287
2,6448000020,2015-01-29," 1,490,000 ",4,2.5,2420,18480,1.0,No,No View,Good,9,1967,98004,47.6214,-122.227
3,9522300010,2015-03-31," 1,490,000 ",3,3.5,4560,14608,2.0,No,Average,Average,12,1990,98034,47.6995,-122.228
4,31000165,2014-09-11," 1,490,000 ",5,3.5,3620,7821,2.0,No,Average,Average,10,1958,98040,47.5738,-122.215
5,8835770170,2014-08-22," 1,488,000 ",5,6.0,6880,279968,2.0,No,Good,Average,12,2007,98045,47.4624,-121.779
6,4139500080,2014-07-18," 1,488,000 ",4,4.25,5180,13077,2.0,No,Good,Average,12,1998,98006,47.5513,-122.109
7,3885805665,2014-06-12," 1,485,000 ",4,3.75,4030,10800,2.0,No,No View,Average,10,2006,98033,47.6821,-122.196
8,3885805175,2014-10-01," 1,485,000 ",4,3.25,3730,7200,2.0,No,No View,Average,10,2006,98033,47.6824,-122.199
9,8835401250,2015-05-06," 1,485,000 ",6,2.75,4430,6440,2.0,No,Good,Average,10,1964,98118,47.5462,-122.265
10,7582700075,2014-10-02," 1,485,000 ",4,3.5,3930,6120,2.0,No,No View,Average,10,2007,98105,47.6646,-122.28
11,5450900060,2014-09-23," 1,484,900 ",5,2.5,4570,19252,2.0,No,No View,Very Good,10,1965,98040,47.5553,-122.22
12,4217401035,2015-05-07," 1,482,500 ",3,2.25,3290,5000,2.0,No,No View,Average,9,1939,98105,47.6582,-122.28
13,8920100066,2014-08-20," 1,481,000 ",4,3.5,5220,15411,2.0,No,Good,Average,11,2006,98075,47.592,-122.085
14,3892500070,2014-07-28," 1,480,000 ",3,3.5,4070,26000,2.0,No,No View,Average,11,1991,98033,47.659,-122.174
15,5700003810,2014-07-23," 1,480,000 ",4,2.25,3920,7200,2.0,No,No View,Average,10,1928,98144,47.5731,-122.284
16,5167000140,2014-07-11," 1,480,000 ",3,3.25,3700,2264,2.0,No,No View,Average,11,1998,98033,47.6653,-122.205
17,2911700020,2014-07-21," 1,476,000 ",3,2.25,4470,22518,2.0,No,Average,Average,9,1953,98006,47.574,-122.18
18,4139910180,2015-01-14," 1,475,000 ",5,4.0,4770,31570,2.0,No,No View,Average,12,1990,98006,47.5468,-122.123
19,4217401365,2014-12-10," 1,475,000 ",5,3.25,3680,10300,1.5,No,No View,Good,10,1927,98105,47.6548,-122.28
20,1118001360,2015-02-18," 1,475,000 ",3,2.75,3910,7080,1.0,No,No View,Very Good,9,1949,98112,47.6324,-122.289
21,5317100530,2014-08-27," 1,475,000 ",4,3.0,3050,6179,2.0,No,No View,Good,9,1926,98112,47.6253,-122.284
22,6762700515,2015-04-21," 1,475,000 ",3,2.5,2570,5000,2.0,No,No View,Average,11,1984,98102,47.6295,-122.32
23,6645900010,2014-11-20," 1,470,000 ",4,2.5,3030,10189,1.0,No,No View,Average,9,2003,98004,47.6367,-122.206
24,4139900050,2014-05-19," 1,468,000 ",4,3.25,5010,34460,2.0,No,No View,Average,12,1988,98006,47.5469,-122.127
25,98000150,2015-01-02," 1,465,000 ",4,4.0,4930,22093,2.0,No,Good,Average,12,2004,98075,47.5874,-121.965
26,868001705,2015-02-06," 1,465,000 ",3,1.5,2480,9900,2.0,No,Good,Average,10,1940,98177,47.7018,-122.381
